set_num;name;year;theme_id;theme_name;num_parts;img_url;Price
76248-1;The Avengers Quinjet;2023;702;Avengers;795;https://cdn.rebrickable.com/media/sets/76248-1.jpg;99.99
76994-1;Sonic's Green Hill Zone Loop Challenge;2023;747;Sonic The Hedgehog;802;https://cdn.rebrickable.com/media/sets/76994-1.jpg;99.99
75352-1;Emperor's Throne Room Diorama;2023;158;Star Wars;807;https://cdn.rebrickable.com/media/sets/75352-1.jpg;99.99
43230-1;Walt Disney Tribute Camera;2023;608;Disney;811;https://cdn.rebrickable.com/media/sets/43230-1.jpg;99.99
60372-1;Police Training Academy;2023;61;Police;823;https://cdn.rebrickable.com/media/sets/60372-1.jpg;99.99
71460-1;Mr. Oz's Space Bus;2023;749;Dreamzzz;878;https://cdn.rebrickable.com/media/sets/71460-1.jpg;99.99
40634-1;Icons of Play;2023;301;Other;899;https://cdn.rebrickable.com/media/sets/40634-1.jpg;99.99
75348-1;Mandalorian Fang Fighter vs. TIE Interceptor;2023;158;Star Wars;964;https://cdn.rebrickable.com/media/sets/75348-1.jpg;99.99
71786-1;Zane's Ice Dragon Creature;2023;435;Ninjago;984;https://cdn.rebrickable.com/media/sets/71786-1.jpg;99.99
41731-1;Heartlake International School;2023;494;Friends;985;https://cdn.rebrickable.com/media/sets/41731-1.jpg;99.99
42158-1;NASA Mars Rover Perseverance;2023;1;Technic;1132;https://cdn.rebrickable.com/media/sets/42158-1.jpg;99.99
42152-1;Firefighter Aircraft;2023;1;Technic;1134;https://cdn.rebrickable.com/media/sets/42152-1.jpg;99.99
10325-1;Alpine Lodge;2023;227;Christmas;1517;https://cdn.rebrickable.com/media/sets/10325-1.jpg;99.99
31208-1;Hokusai - The Great Wave;2023;709;LEGO Art;1810;https://cdn.rebrickable.com/media/sets/31208-1.jpg;99.99
60389-1;Custom Car Garage;2023;52;City;515;https://cdn.rebrickable.com/media/sets/60389-1.jpg;59.99
21251-1;Steve's Desert Expedition;2024;577;Minecraft;75;https://cdn.rebrickable.com/media/sets/21251-1.jpg;10.99
42607-1;Autumn's Baby Cow Shed;2024;494;Friends;79;https://cdn.rebrickable.com/media/sets/42607-1.jpg;10.99
42612-1;Cat Playground Adventure;2024;494;Friends;87;https://cdn.rebrickable.com/media/sets/42612-1.jpg;10.99
42606-1;Mobile Bakery Food Cart;2024;494;Friends;125;https://cdn.rebrickable.com/media/sets/42606-1.jpg;10.99
42608-1;Tiny Accessories Store;2024;494;Friends;129;https://cdn.rebrickable.com/media/sets/42608-1.jpg;10.99
60428-1;Space Construction Mech;2024;52;City;140;https://cdn.rebrickable.com/media/sets/60428-1.jpg;10.99
60433-1;Modular Space Station;2024;52;City;1099;https://cdn.rebrickable.com/media/sets/60433-1.jpg;109.99
42181-1;VTOL Heavy Cargo Spaceship LT81;2024;1;Technic;1365;https://cdn.rebrickable.com/media/sets/42181-1.jpg;109.99
21347-1;Red London Telephone Box;2024;576;LEGO Ideas and CUUSOO;1460;https://cdn.rebrickable.com/media/sets/21347-1.jpg;114.99
71813-1;Wolf Mask Shadow Dojo;2024;435;Ninjago;1190;https://cdn.rebrickable.com/media/sets/71813-1.jpg;119.99
71819-1;Dragon Stone Shrine;2024;435;Ninjago;1212;https://cdn.rebrickable.com/media/sets/71819-1.jpg;119.99
42604-1;Heartlake City Shopping Mall;2024;494;Friends;1237;https://cdn.rebrickable.com/media/sets/42604-1.jpg;119.99
40711-1;Hedgehog Picnic Date;2024;301;Other;166;https://cdn.rebrickable.com/media/sets/40711-1.jpg;12.99
40709-1;Spring Animal Playground ​ ​;2024;301;Other;172;https://cdn.rebrickable.com/media/sets/40709-1.jpg;12.99
42163-1;Heavy-Duty Bulldozer;2024;1;Technic;195;https://cdn.rebrickable.com/media/sets/42163-1.jpg;12.99
80113-1;Family Reunion Celebration;2024;686;Chinese Traditional Festivals;1823;https://cdn.rebrickable.com/media/sets/80113-1.jpg;129.99
60434-1;Space Base and Rocket Launchpad;2024;52;City;1424;https://cdn.rebrickable.com/media/sets/60434-1.jpg;134.99
76276-1;Venom Mech Armour vs. Miles Morales;2024;706;Spider-Man;134;https://cdn.rebrickable.com/media/sets/76276-1.jpg;14.99
76277-1;War Machine Mech Armor;2024;702;Avengers;154;https://cdn.rebrickable.com/media/sets/76277-1.jpg;14.99
76424-1;Flying Ford Anglia;2024;246;Harry Potter;165;https://cdn.rebrickable.com/media/sets/76424-1.jpg;14.99
77046-1;Julian's Birthday Party;2024;752;Animal Crossing;170;https://cdn.rebrickable.com/media/sets/77046-1.jpg;14.99
40747-1;Daffodils;2024;22;Creator;216;https://cdn.rebrickable.com/media/sets/40747-1.jpg;14.99
40713-1;Japan Postcard;2024;22;Creator;262;https://cdn.rebrickable.com/media/sets/40713-1.jpg;14.99
40725-1;Cherry Blossoms;2024;301;Other;438;https://cdn.rebrickable.com/media/sets/40725-1.jpg;14.99
42180-1;Mars Crew Exploration Rover;2024;1;Technic;1599;https://cdn.rebrickable.com/media/sets/42180-1.jpg;149.99
43233-1;Belle's Storytime Horse Carriage;2024;579;Disney Princess;63;https://cdn.rebrickable.com/media/sets/43233-1.jpg;15.99
43234-1;Elsa's Frozen Treats;2024;579;Disney Princess;83;https://cdn.rebrickable.com/media/sets/43234-1.jpg;15.99
71804-1;Arin's Battle Mech;2024;435;Ninjago;104;https://cdn.rebrickable.com/media/sets/71804-1.jpg;15.99
71810-1;Young Dragon Riyu;2024;435;Ninjago;132;https://cdn.rebrickable.com/media/sets/71810-1.jpg;15.99
60402-1;Blue Monster Truck;2024;52;City;148;https://cdn.rebrickable.com/media/sets/60402-1.jpg;15.99
71472-1;Izzie's Narwhal Hot-Air Balloon;2024;749;Dreamzzz;156;https://cdn.rebrickable.com/media/sets/71472-1.jpg;15.99
42609-1;Electric Car and Charger;2024;494;Friends;170;https://cdn.rebrickable.com/media/sets/42609-1.jpg;15.99
10327-1;Dune Atreides Royal Ornithopter;2024;721;Icons;1370;https://cdn.rebrickable.com/media/sets/10327-1.jpg;164.99
80054-1;Megapolis City 5th Anniversary;2024;693;Monkie Kid;2330;https://cdn.rebrickable.com/media/sets/80054-1.jpg;189.99
10417-1;Mack at the Race;2024;506;Cars;14;https://cdn.rebrickable.com/media/sets/10417-1.jpg;19.99
10412-1;Animal Train;2024;504;Duplo;19;https://cdn.rebrickable.com/media/sets/10412-1.jpg;19.99
10419-1;Caring for Bees & Beehives;2024;504;Duplo;22;https://cdn.rebrickable.com/media/sets/10419-1.jpg;19.99
10438-1;Visit to the Vet Clinic;2024;632;Town;28;https://cdn.rebrickable.com/media/sets/10438-1.jpg;19.99
60403-1;Emergency Ambulance and Snowboarder;2024;60;Hospital;79;https://cdn.rebrickable.com/media/sets/60403-1.jpg;19.99
10793-1;Spidey vs. Green Goblin;2024;755;Spidey and His Amazing Friends;84;https://cdn.rebrickable.com/media/sets/10793-1.jpg;19.99
42633-1;Hot Dog Food Truck;2024;494;Friends;100;https://cdn.rebrickable.com/media/sets/42633-1.jpg;19.99
60438-1;Sailboat;2024;52;City;103;https://cdn.rebrickable.com/media/sets/60438-1.jpg;19.99
42634-1;Horse and Pony Trailer;2024;494;Friends;105;https://cdn.rebrickable.com/media/sets/42634-1.jpg;19.99
60429-1;Spaceship and Asteroid Discovery;2024;52;City;126;https://cdn.rebrickable.com/media/sets/60429-1.jpg;19.99
77047-1;Bunnie's Outdoor Activities;2024;752;Animal Crossing;164;https://cdn.rebrickable.com/media/sets/77047-1.jpg;19.99
42601-1;Hamster Playground;2024;494;Friends;167;https://cdn.rebrickable.com/media/sets/42601-1.jpg;19.99
60404-1;Burger Truck;2024;52;City;194;https://cdn.rebrickable.com/media/sets/60404-1.jpg;19.99
42610-1;Karaoke Music Party;2024;494;Friends;196;https://cdn.rebrickable.com/media/sets/42610-1.jpg;19.99
76995-1;Shadow's Escape;2024;747;Sonic The Hedgehog;196;https://cdn.rebrickable.com/media/sets/76995-1.jpg;19.99
71807-1;Sora's Tech Mech;2024;435;Ninjago;209;https://cdn.rebrickable.com/media/sets/71807-1.jpg;19.99
42164-1;Off-Road Race Buggy;2024;1;Technic;219;https://cdn.rebrickable.com/media/sets/42164-1.jpg;19.99
60415-1;Police Car and Muscle Car Chase;2024;61;Police;220;https://cdn.rebrickable.com/media/sets/60415-1.jpg;19.99
60405-1;Emergency Rescue Helicopter;2024;60;Hospital;226;https://cdn.rebrickable.com/media/sets/60405-1.jpg;19.99
71430-1;Penguin Family Snow Adventure Expansion Set;2024;690;Super Mario;228;https://cdn.rebrickable.com/media/sets/71430-1.jpg;19.99
