inventory_id;version;set_num;name;year;theme_id;theme_name;num_parts;img_url;price
133716;1;10311-1;Orchid;2022;721;Icons;608;https://cdn.rebrickable.com/media/sets/10311-1.jpg;49.99
134060;1;76949-1;Giganotosaurus & Therizinosaurus Attack;2022;602;Jurassic World;810;https://cdn.rebrickable.com/media/sets/76949-1.jpg;139.99
134185;1;76207-1;Attack on New Asgard;2022;696;Super Heroes Marvel;159;https://cdn.rebrickable.com/media/sets/76207-1.jpg;19.99
134475;1;75341-1;Luke Skywalker's Landspeeder;2022;171;Ultimate Collector Series;1890;https://cdn.rebrickable.com/media/sets/75341-1.jpg;239.99
134586;1;41714-1;Andrea's Theater School;2022;494;Friends;1154;https://cdn.rebrickable.com/media/sets/41714-1.jpg;99.99
135546;1;76217-1;I Am Groot;2022;702;Avengers;476;https://cdn.rebrickable.com/media/sets/76217-1.jpg;54.99
135554;1;60354-1;Mars Spacecraft Exploration Missions;2022;52;City;298;https://cdn.rebrickable.com/media/sets/60354-1.jpg;39.99
165276;2;21334-1;Jazz Quartet;2022;576;LEGO Ideas and CUUSOO;1606;https://cdn.rebrickable.com/media/sets/21334-1.jpg;99.99
135586;1;10971-1;Wild Animals of Africa;2022;632;Town;11;https://cdn.rebrickable.com/media/sets/10971-1.jpg;9.99
135587;1;10972-1;Wild Animals of the Ocean;2022;632;Town;33;https://cdn.rebrickable.com/media/sets/10972-1.jpg;19.99
135590;1;10975-1;Wild Animals of the World;2022;632;Town;143;https://cdn.rebrickable.com/media/sets/10975-1.jpg;129.99
135592;1;21184-1;The Bakery;2022;577;Minecraft;154;https://cdn.rebrickable.com/media/sets/21184-1.jpg;24.99
135593;1;21185-1;The Nether Bastion;2022;577;Minecraft;300;https://cdn.rebrickable.com/media/sets/21185-1.jpg;34.99
135597;1;31132-1;Viking Ship and the Midgard Serpent;2022;672;Creator 3-in-1;1192;https://cdn.rebrickable.com/media/sets/31132-1.jpg;119.99
135603;1;41712-1;Recycling Truck;2022;494;Friends;259;https://cdn.rebrickable.com/media/sets/41712-1.jpg;19.99
135608;1;41720-1;Water Park;2022;494;Friends;373;https://cdn.rebrickable.com/media/sets/41720-1.jpg;49.99
135616;1;41960-1;Big Box;2022;688;DOTS;479;https://cdn.rebrickable.com/media/sets/41960-1.jpg;34.99
135617;1;41962-1;Unicorn Creative Family Pack;2022;688;DOTS;812;https://cdn.rebrickable.com/media/sets/41962-1.jpg;39.99
135618;1;43204-1;Anna and Olaf's Castle Fun;2022;687;Frozen;108;https://cdn.rebrickable.com/media/sets/43204-1.jpg;29.99
135619;1;43206-1;Cinderella and Prince Charming's Castle;2022;579;Disney Princess;365;https://cdn.rebrickable.com/media/sets/43206-1.jpg;89.99
135620;1;60313-1;Space Ride Amusement Truck;2022;52;City;433;https://cdn.rebrickable.com/media/sets/60313-1.jpg;49.99
135623;1;60333-1;Bathtub Stunt Bike;2022;744;Stuntz;14;https://cdn.rebrickable.com/media/sets/60333-1.jpg;7.99
135625;1;60335-1;Train Station;2022;66;Trains;907;https://cdn.rebrickable.com/media/sets/60335-1.jpg;99.99
135626;1;60336-1;Freight Train;2022;66;Trains;1153;https://cdn.rebrickable.com/media/sets/60336-1.jpg;199.99
135627;1;60337-1;Passenger Express Train;2022;66;Trains;764;https://cdn.rebrickable.com/media/sets/60337-1.jpg;189.99
135628;1;60338-1;Chimpanzee Smash Stunt Loop;2022;744;Stuntz;226;https://cdn.rebrickable.com/media/sets/60338-1.jpg;69.99
135629;1;60339-1;Double Loop Stunt Arena;2022;744;Stuntz;598;https://cdn.rebrickable.com/media/sets/60339-1.jpg;159.99
135631;1;60341-1;The Knockdown Stunt Challenge;2022;744;Stuntz;117;https://cdn.rebrickable.com/media/sets/60341-1.jpg;34.99
135636;1;60346-1;Barn & Farm Animals;2022;57;Farm;230;https://cdn.rebrickable.com/media/sets/60346-1.jpg;69.99
135638;1;60353-1;Wild Animal Rescue Missions;2022;52;City;246;https://cdn.rebrickable.com/media/sets/60353-1.jpg;39.99
135639;1;60355-1;Water Police Detective Missions;2022;61;Police;278;https://cdn.rebrickable.com/media/sets/60355-1.jpg;39.99
135641;1;71768-1;Jay's Golden Dragon Motorbike;2022;435;Ninjago;148;https://cdn.rebrickable.com/media/sets/71768-1.jpg;19.99
135645;1;71772-1;The Crystal King;2022;435;Ninjago;722;https://cdn.rebrickable.com/media/sets/71772-1.jpg;79.99
135648;1;71775-1;Nya's Samurai X MECH;2022;435;Ninjago;1014;https://cdn.rebrickable.com/media/sets/71775-1.jpg;119.99
135664;1;40560-1;Professors of Hogwarts;2022;610;Brickheadz;605;https://cdn.rebrickable.com/media/sets/40560-1.jpg;39.99
202801;2;21340-1;Tales of the Space Age;2023;576;LEGO Ideas and CUUSOO;690;https://cdn.rebrickable.com/media/sets/21340-1.jpg;49.99
136101;1;11022-1;Space Mission;2022;621;Classic;1700;https://cdn.rebrickable.com/media/sets/11022-1.jpg;69.99
136184;1;41961-1;Designer Toolkit - Patterns;2022;688;DOTS;1096;https://cdn.rebrickable.com/media/sets/41961-1.jpg;64.99
136187;1;10979-1;Wild Animals Of Europe;2022;632;Town;86;https://cdn.rebrickable.com/media/sets/10979-1.jpg;69.99
136700;1;21058-1;Great Pyramid of Giza;2022;252;Architecture;1476;https://cdn.rebrickable.com/media/sets/21058-1.jpg;129.99
137058;1;10302-1;Optimus Prime;2022;721;Icons;1508;https://cdn.rebrickable.com/media/sets/10302-1.jpg;179.99
137565;1;21333-1;The Starry Night;2022;576;LEGO Ideas and CUUSOO;2316;https://cdn.rebrickable.com/media/sets/21333-1.jpg;169.99
138212;1;42143-1;Ferrari Daytona SP3;2022;1;Technic;3778;https://cdn.rebrickable.com/media/sets/42143-1.jpg;449.99
138313;1;75333-1;Obi-Wan Kenobi's Jedi Starfighter;2022;158;Star Wars;282;https://cdn.rebrickable.com/media/sets/75333-1.jpg;29.99
138315;1;40547-1;Obi-Wan Kenobi & Darth Vader;2022;610;Brickheadz;260;https://cdn.rebrickable.com/media/sets/40547-1.jpg;19.99
138317;1;75323-1;The Justifier;2022;158;Star Wars;1023;https://cdn.rebrickable.com/media/sets/75323-1.jpg;169.99
138319;1;75331-1;The Razor Crest;2022;171;Ultimate Collector Series;6187;https://cdn.rebrickable.com/media/sets/75331-1.jpg;599.99
138320;1;75332-1;AT-ST;2022;158;Star Wars;87;https://cdn.rebrickable.com/media/sets/75332-1.jpg;34.99
138321;1;75334-1;Obi-Wan Kenobi vs. Darth Vader;2022;158;Star Wars;408;https://cdn.rebrickable.com/media/sets/75334-1.jpg;49.99
138322;1;75335-1;BD-1;2022;158;Star Wars;1062;https://cdn.rebrickable.com/media/sets/75335-1.jpg;99.99
138324;1;75337-1;AT-TE Walker;2022;158;Star Wars;1082;https://cdn.rebrickable.com/media/sets/75337-1.jpg;139.99
138325;1;75338-1;Ambush on Ferrix;2022;158;Star Wars;679;https://cdn.rebrickable.com/media/sets/75338-1.jpg;69.99
139036;1;76223-1;Nano Gauntlet;2022;702;Avengers;675;https://cdn.rebrickable.com/media/sets/76223-1.jpg;69.99
139134;1;43205-1;Ultimate Adventure Castle;2022;579;Disney Princess;698;https://cdn.rebrickable.com/media/sets/43205-1.jpg;99.99
139294;1;10976-1;Santa's Gingerbread House;2022;504;Duplo;50;https://cdn.rebrickable.com/media/sets/10976-1.jpg;34.99
139917;1;10303-1;Loop Coaster;2022;721;Icons;3756;https://cdn.rebrickable.com/media/sets/10303-1.jpg;399.99
140056;1;42145-1;Airbus H175 Rescue Helicopter;2022;1;Technic;2001;https://cdn.rebrickable.com/media/sets/42145-1.jpg;209.99
140640;1;76911-1;Aston Martin DB5;2022;601;Speed Champions;298;https://cdn.rebrickable.com/media/sets/76911-1.jpg;19.99
140641;1;76912-1;Fast & Furious 1970 Dodge Charger R/T;2022;601;Speed Champions;345;https://cdn.rebrickable.com/media/sets/76912-1.jpg;19.99
209613;3;21344-1;The Orient Express Train;2023;576;LEGO Ideas and CUUSOO;2540;https://cdn.rebrickable.com/media/sets/21344-1.jpg;299.99
140976;1;76218-1;Sanctum Sanctorum;2022;702;Avengers;2713;https://cdn.rebrickable.com/media/sets/76218-1.jpg;249.99
140978;1;40542-1;FC Barcelona Go Brick Me;2022;610;Brickheadz;530;https://cdn.rebrickable.com/media/sets/40542-1.jpg;19.99
140979;1;10497-1;Galaxy Explorer;2022;721;Icons;1254;https://cdn.rebrickable.com/media/sets/10497-1.jpg;99.99
140980;1;10305-1;Lion Knights' Castle;2022;721;Icons;4515;https://cdn.rebrickable.com/media/sets/10305-1.jpg;399.99
140984;1;75574-1;Toruk Makto & Tree of Souls;2022;724;Avatar;1217;https://cdn.rebrickable.com/media/sets/75574-1.jpg;149.99
140985;1;21189-1;The Skeleton Dungeon;2022;577;Minecraft;364;https://cdn.rebrickable.com/media/sets/21189-1.jpg;34.99
140993;1;31207-1;Floral Art;2022;709;LEGO Art;2870;https://cdn.rebrickable.com/media/sets/31207-1.jpg;79.99
141141;1;40654-1;Beijing Postcard;2022;22;Creator;276;https://cdn.rebrickable.com/media/sets/40654-1.jpg;14.99
141866;1;41963-1;Mickey & Friends Stitch-On Patch;2022;688;DOTS;95;https://cdn.rebrickable.com/media/sets/41963-1.jpg;5.99
141867;1;41964-1;Back To School Project Box;2022;688;DOTS;659;https://cdn.rebrickable.com/media/sets/41964-1.jpg;44.99
142033;1;71412-1;Big Bad Island Expansion Set;2022;690;Super Mario;354;https://cdn.rebrickable.com/media/sets/71412-1.jpg;44.99
142125;1;40521-1;Mini Disney The Haunted Mansion;2022;608;Disney;680;https://cdn.rebrickable.com/media/sets/40521-1.jpg;39.99
142131;1;40570-1;Halloween Cat & Mouse;2022;230;Halloween;328;https://cdn.rebrickable.com/media/sets/40570-1.jpg;12.99
142133;1;40568-1;Paris Postcard;2022;22;Creator;213;https://cdn.rebrickable.com/media/sets/40568-1.jpg;14.99
142467;1;40569-1;London Postcard;2022;22;Creator;277;https://cdn.rebrickable.com/media/sets/40569-1.jpg;14.99
142603;1;71411-1;The Mighty Bowser;2022;690;Super Mario;2807;https://cdn.rebrickable.com/media/sets/71411-1.jpg;269.99
143025;1;10304-1;Chevrolet Camaro Z/28 1969;2022;721;Icons;1456;https://cdn.rebrickable.com/media/sets/10304-1.jpg;169.99
143151;1;40541-1;Manchester United Go Brick Me;2022;610;Brickheadz;530;https://cdn.rebrickable.com/media/sets/40541-1.jpg;19.99
143299;1;21336-1;The Office;2022;576;LEGO Ideas and CUUSOO;1165;https://cdn.rebrickable.com/media/sets/21336-1.jpg;119.99
161292;2;31058-1;Mighty Dinosaurs;2017;672;Creator 3-in-1;174;https://cdn.rebrickable.com/media/sets/31058-1.jpg;14.99
143708;1;10306-1;Atari 2600;2022;721;Icons;2532;https://cdn.rebrickable.com/media/sets/10306-1.jpg;239.99
143822;1;75573-1;Floating Mountains: Site 26 & RDA Samson;2022;724;Avatar;887;https://cdn.rebrickable.com/media/sets/75573-1.jpg;99.99
143823;1;75572-1;Jake & Neytiri's First Banshee Flight;2022;724;Avatar;578;https://cdn.rebrickable.com/media/sets/75572-1.jpg;59.99
143824;1;75571-1;Neytiri & Thanator vs. AMP Suit Quaritch;2022;724;Avatar;560;https://cdn.rebrickable.com/media/sets/75571-1.jpg;44.99
144649;1;76211-1;Shuri's Sunbird;2022;696;Super Heroes Marvel;355;https://cdn.rebrickable.com/media/sets/76211-1.jpg;49.99
144650;1;76212-1;Shuri's Lab;2022;696;Super Heroes Marvel;58;https://cdn.rebrickable.com/media/sets/76212-1.jpg;9.99
144651;1;76213-1;King Namor's Throne Room;2022;696;Super Heroes Marvel;355;https://cdn.rebrickable.com/media/sets/76213-1.jpg;34.99
145038;1;40573-1;Christmas Tree;2022;227;Christmas;784;https://cdn.rebrickable.com/media/sets/40573-1.jpg;44.99
145206;1;76225-1;Miles Morales;2022;706;Spider-Man;242;https://cdn.rebrickable.com/media/sets/76225-1.jpg;24.99
145207;1;76226-1;Spider-Man;2022;706;Spider-Man;262;https://cdn.rebrickable.com/media/sets/76226-1.jpg;24.99
145215;1;76230-1;Venom;2022;706;Spider-Man;296;https://cdn.rebrickable.com/media/sets/76230-1.jpg;24.99
145547;1;11966-1;Pirate Ship;2022;22;Creator;33;https://cdn.rebrickable.com/media/sets/11966-1.jpg;119.99
145920;1;76405-1;Hogwarts Express - Collectors' Edition;2022;246;Harry Potter;5147;https://cdn.rebrickable.com/media/sets/76405-1.jpg;499.99
