part_num;Name;Serial;Price;element_id;design_id;color_id
98225;BRICK, ROUND 2X2X2;6390995/98225;$1.30;6390995;98225;70
15515;FLOWER 4X4X1;6391043/15515;$1.28;6391043;15515;158
29304;PLATE 8X4, 1/2 CIRCLE;6391042/29304;$2.34;6391042;29304;10
98252;BRICK 2X3 W. INV. BOW;6391041/98252;$1.05;6391041;98252;84
47753;BRICK 4X4 W. BOW/ANGLE;6390612/47753;$0.37;6390612;47753;320
35087;FRUIT, NO. 1;6390766/35087;$1.69;6390766;35087;25
67141;SHELL, 5X15X2, W/ 4.85 HOLE, NO. 1;6390259/67141;$1.07;6390259;67141;4
27507;TILE 4X4, W/ BOW;6390262/27507;$0.15;6390262;27507;4
49130;Angular beam 90degr. w.4 snaps;6390258/49130;$0.34;6390258;49130;4
3437;DUPLO BRICK 2X2;6390099/3437;$0.58;6390099;3437;70
3960;ROUND PLATE Ø32X6.4;6389938/3960;$0.24;6389938;3960;288
23860;BLADE, NO. 3;6389863/23860;$0.29;6389863;23860;45
84194;TREE TOP 4X4X1.5, NO. 1;6387971/84194;$3.00;6387971;84194;27
75937;PARABOLIC RING;6388645/75937;$0.22;6388645;75937;297
13548;ROOF TILE 2X2X1 45 DEGR. - BOT. 45 DEGR.;6388245/13548;$0.16;6388245;13548;297
27263;TILE 2X2, DEG. 90, W/ DEG. 45 CUT;6388241/27263;$0.07;6388241;27263;297
84191;TREE TRUNK 4X10X4, NO. 1;6388173/84191;$11.50;6388173;84191;84
3626cpr3712;MINI HEAD, NO. 3712;6388228/66059;$0.26;6388228;66059;14
84193;TREE TOP 6X6X1, NO. 1;6388168/84193;$2.40;6388168;84193;27
69729;TILE 2X6;6387565/69729;$0.21;6387565;69729;25
61480;TYRE BALOON WIDE Ø68,7 X 34;6388125/61480;$2.46;6388125;61480;0
84195;FLOWER 3X3X1, NO. 1;6387973/84195;$0.54;6387973;84195;4
98223;BRICK 2X4 W. BOWS;6386991/98223;$1.09;6386991;98223;1050
3437pr0166;BRICK 2X2, NO. 166;6386671/1377;$1.64;6386671;1377;84
18115pr0001;SQUIRREL, NO. 7;6386670/1376;$4.82;6386670;1376;484
48267;BION. EYE;6385549/48267;$0.17;6385549;48267;297
3002;BRICK 2X3;6385309/3002;$0.17;6385309;3002;272
23444;LATTICE 3X6 MODULE W/KNOBS;6385229/29165;$0.21;6385229;29165;179
27370pr0019;BIRD, NO. 19;6386654/1360;$5.65;6386654;1360;4
37352;BRICK 1X2, OUTSIDE HALF BOW;6384915/37352;$0.13;6384915;37352;272
27370pr0018;BIRD, NO. 18;6386648/1354;$5.62;6386648;1354;226
78329;PLATE 1X5;6384913/78329;$0.22;6384913;78329;272
48170;BRICK 2X2 Ø4.85 HORIZ. SNAP;6384704/48442;$0.85;6384704;48442;4
2744;WING 1X6X1 2/3, W/ 4.85 HOLE;6384702/28670;$0.64;6384702;28670;272
84189pr0001;CROCODILE, NO. 4;6386646/1352;$5.87;6386646;1352;27
84190pr0001;SEA TURTLE, NO. 2;6386645/1351;$6.14;6386645;1351;27
23443;3.2 SHAFT W/3.2 HOLE;6384643/49755;$0.08;6384643;49755;272
45705;SHELL 6X10X2 W/ BOW, ANGLE;6386002/35269;$1.87;6386002;35269;182
11476;PLATE 1X2 W. 1 HORIZONTAL SNAP;6384219/65458;$0.14;6384219;65458;191
3626cpr3771;MINI HEAD, NO. 3771;6384064/98363;$0.26;6384064;98363;14
61252;PLATE 1X1 W/HOLDER VERTICAL;6383304/52738;$0.10;6383304;52738;27
37352;BRICK 1X2, OUTSIDE HALF BOW, NO. 12;6383826/98030;$0.45;6383826;98030;80
71708;SHELL 3X1X2, W/ CROSS HOLE, NO. 1;6381444/71708;$0.22;6381444;71708;4
90826;BROOM, 1X1 2/3;6380013/90826;$0.56;6380013;90826;308
71682;PANEL 2X3X1, NO. 1;6381442/71682;$0.46;6381442;71682;4
41948;PLATE 8X8, 1/2 CIRCLE;6378799/41948;$0.89;6378799;41948;10
89679;PANEL 2X1X1, NO. 1;6378122/89679;$0.43;6378122;89679;4
80431;BRICK 1X2X4/3 W/ CLICK, NO. 1;6377024/80431;$0.58;6377024;80431;4
80563;FLEX JOINT, MALE, W/ 4.85 BUSH;6369944/80563;$0.45;6369944;80563;72
86148;ROOF TILE 4X4, W/ ANGLE, NO. 4;6376233/86148;$0.75;6376233;86148;297
81436pr0002;ALPACA, NO. 2;6368446/81436;$7.27;6368446;81436;15
9,7E+13;MINI LOWER PART, NO. 2181;6374213/84133;$4.58;6374213;84133;321
80477;4.85 BUSH 3 M, FRICTION, W/ 5.9 BALL;6365695/80477;$0.20;6365695;80477;72
49097;MUDGUARD,2 1/2X3X1 1/3 KNOB,TUBE,NO. 1;6371958/49097;$0.24;6371958;49097;326
47543;CONE, HALF 8X4X6;6364370/35161;$3.59;6364370;35161;1061
14769;FLAT TILE 2X2, ROUND, NO. 1224;6371606/83056;$0.37;6371606;83056;80
78443;LEFT PLATE, 2X6, DEG. 9;6371579/78443;$0.25;6371579;78443;4
80285;SHELL 5X3X2, W/ 4.85 HOLE, NO. 1;6362563/80285;$1.14;6362563;80285;4
78444;RIGHT PLATE, 2X6, DEG. 9;6371578/78444;$0.25;6371578;78444;4
80284;SHELL 5X13X2, W/ 4.85 HOLE, NO. 8;6362562/80284;$3.29;6362562;80284;4
80279;TYRE, LOW, WIDE, DIA. 87.9X44;6362559/80279;$9.70;6362559;80279;0
80278;LEFT PANEL 5X4;6362558/80278;$1.22;6362558;80278;4
80274;RIGHT PANEL 5X4;6362557/80274;$1.22;6362557;80274;4
99206;PLATE 2X2X2/3 W. 2. HOR. KNOB;6371456/99206;$0.10;6371456;99206;272
47456;PLATE W. BOWS 2X3½;6357918/47456;$0.18;6357918;47456;297
16577;BRICK W. BOW 1X8X2;6358028/40296;$0.33;6358028;40296;85
48165;RIGHT ROOF TILE 3X3, DEG. 45/18/45;6357785/48165;$0.39;6357785;48165;297
42862;LEFT ROOF TILE 3X3, DEG. 45/18/45;6357784/42862;$0.38;6357784;42862;297
24201;PLATE, W/ HALF BOW, INV. 1X2X2/3;6353065/24201;$0.08;6353065;24201;28
68547;MINI ACCESSORY, NO. 17;6351708/68547;$0.51;6351708;68547;35
98138;FLAT TILE 1X1, ROUND;6346374/35381;$0.04;6346374;35381;30
3062b;ROUND BRICK 1X1;6335549/3062;$0.06;6335549;3062;323
