Name;Pieces;;Price;
Loop Coaster;3756;Loop Coaster-3756;399.99;
Hogwarts Castle and Grounds;2660;Hogwarts Castle and Grounds-2660;169.99;
Sanctum Sanctorum;2713;Sanctum Sanctorum-2713;249.99;
ECTO-1;2352;ECTO-1-2352;239.99;10274-1
2022 Ford GT;1466;2022 Ford GT-1466;119.99;
Taj Mahal;2024;Taj Mahal-2024;119.99;21056-1
Back to the Future Time Machine;1872;Back to the Future Time Machine-1872;199.99;
Little Mermaid Story Book;134;Little Mermaid Story Book-134;19.99;
Spider-Man Final Battle;906;Spider-Man Final Battle-906;109.99;
Millennium Falcon;7541;Millennium Falcon-7541;849.99;
Tropical Ukulele;387;Tropical Ukulele-387;29.99;
John Deere 948L-II Skidder;1492;John Deere 948L-II Skidder-1492;199.99;
Ski and Climbing Center;1045;Ski and Climbing Center-1045;119.99;
Villain Icons;1540;Villain Icons-1540;129.99;
Temple of the Golden Idol;1545;Temple of the Golden Idol-1545;149.99;
The Razor Crest;6187;The Razor Crest-6187;599.99;
The Amazing Spider-Man;2099;The Amazing Spider-Man-2099;199.99;
Venom;296;Venom-296;24.99;
AT-TE Walker;1082;AT-TE Walker-1082;139.99;
Ghost & Phantom II;1394;Ghost & Phantom II-1394;159.99;
Passenger Airplane;913;Passenger Airplane-913;119.99;
Yamaha MT-10 SP;1478;Yamaha MT-10 SP-1478;239.99;
Luke Skywalker's Landspeeder;1890;Luke Skywalker's Landspeeder-1890;239.99;
Captain America's Shield;3128;Captain America's Shield-3128;199.99;
Downtown;2010;Downtown-2010;199.99;
The Little Mermaid Royal Clamshell;1808;The Little Mermaid Royal Clamshell-1808;159.99;
Fender Stratocaster;1079;Fender Stratocaster-1079;119.99;
Space Roller Coaster;874;Space Roller Coaster-874;109.99;
Grand Piano;3662;Grand Piano-3662;399.99;
New Republic E-Wing vs. Shin Hati’s Starfighter;1056;New Republic E-Wing vs. Shin Hati’s Starfighter-1056;109.99;
Venom Mech Armour vs. Miles Morales;134;Venom Mech Armour vs. Miles Morales-134;14.99;
Chewbacca;2319;Chewbacca-2319;199.99;
Elemental Dragon vs. The Empress Mech;1039;Elemental Dragon vs. The Empress Mech-1039;129.99;
Yavin 4 Rebel Base;1067;Yavin 4 Rebel Base-1067;169.99;
Coruscant Guard Gunship;1083;Coruscant Guard Gunship-1083;139.99;
Vibrant Creative Brick Box;850;Vibrant Creative Brick Box-850;59.99;
The Starry Night;2316;The Starry Night-2316;169.99;
Republic Gunship;3292;Republic Gunship-3292;399.99;
Ferrari Daytona SP3;3778;Ferrari Daytona SP3-3778;449.99;
Arctic Explorer Ship;817;Arctic Explorer Ship-817;159.99;
The Mighty Bowser;2807;The Mighty Bowser-2807;269.99;
Optimus Prime;1508;Optimus Prime-1508;179.99;
Heartlake City Community Center;1513;Heartlake City Community Center-1513;139.99;
Visitor Center: T. rex & Raptor Attack;693;Visitor Center: T. rex & Raptor Attack-693;129.99;
Audi RS Q e-tron;914;Audi RS Q e-tron-914;179.99;
The Enchanted Treehouse;1016;The Enchanted Treehouse-1016;159.99;
The Iron Golem Fortress;868;The Iron Golem Fortress-868;109.99;
VTOL Heavy Cargo Spaceship LT81;1365;VTOL Heavy Cargo Spaceship LT81-1365;109.99;
Main Street;1459;Main Street-1459;139.99;
R2-D2;2314;R2-D2-2314;239.99;
Fantastical Tree House;1257;Fantastical Tree House-1257;109.99;
Nightmare Shark Ship;1389;Nightmare Shark Ship-1389;139.99;
Beach Amusement Park;1348;Beach Amusement Park-1348;119.99;
Dragon of the East Palace;2371;Dragon of the East Palace-2371;189.99;
Deep-Sea Explorer Submarine;842;Deep-Sea Explorer Submarine-842;109.99;
People;53;People-53;119.95;
Dry Bowser Castle Battle Expansion Set;1321;Dry Bowser Castle Battle Expansion Set-1321;109.99;
3in1 Family House;218;3in1 Family House-218;129.99;
Mos Eisley Cantina;3187;Mos Eisley Cantina-3187;399.99;
Diddy Kong's Mine Cart Ride Expansion Set;1157;Diddy Kong's Mine Cart Ride Expansion Set-1157;109.99;
Super Mario 64 Question Mark Block;2064;Super Mario 64 Question Mark Block-2064;199.99;
Batmobile Tumbler;2049;Batmobile Tumbler-2049;269.99;
NASA Space Shuttle Discovery;2355;NASA Space Shuttle Discovery-2355;199.99;
Monkey King Ultra Mech;1715;Monkey King Ultra Mech-1715;159.99;
Monkie Kid's Team Hideout;1589;Monkie Kid's Team Hideout-1589;139.99;
Toruk Makto & Tree of Souls;1217;Toruk Makto & Tree of Souls-1217;149.99;
Freight Train;1153;Freight Train-1153;199.99;
Groom;255;Groom-255;12.99;
BMW Motorrad M 1000 RR;1918;BMW Motorrad M 1000 RR-1918;249.99;
Airbus H175 Rescue Helicopter;2001;Airbus H175 Rescue Helicopter-2001;209.99;
Lamborghini Sián FKP 37;3696;Lamborghini Sián FKP 37-3696;449.99;
Wooden Minifigure;1;Wooden Minifigure-1;129.99;
Millennium Falcon;1351;Millennium Falcon-1351;169.99;
Giganotosaurus & Therizinosaurus Attack;810;Giganotosaurus & Therizinosaurus Attack-810;139.99;
Hogwarts Chamber of Secrets;1172;Hogwarts Chamber of Secrets-1172;149.99;
Pirate Ship;1264;Pirate Ship-1264;119.99;
The Justifier;1023;The Justifier-1023;169.99;
Wild Animals of the World;143;Wild Animals of the World-143;129.99;
NINJAGO City Gardens;5709;NINJAGO City Gardens-5709;349.99;
Peach's Castle Expansion Set;1216;Peach's Castle Expansion Set-1216;129.99;
SPIKE Prime Expansion Set;603;SPIKE Prime Expansion Set-603;139.95;
The City of Lanterns;2187;The City of Lanterns-2187;159.99;
Wolf Mask Shadow Dojo;1190;Wolf Mask Shadow Dojo-1190;119.99;
Small Hub;2;Small Hub-2;219.95;
Young Dragon Riyu;132;Young Dragon Riyu-132;15.99;
Heavy Duty Tow Truck;2017;Heavy Duty Tow Truck-2017;159.99;
The Ice Castle;1709;The Ice Castle-1709;219.99;
"Ferrari 488 GTE ""AF Corse #51""";1677;"Ferrari 488 GTE ""AF Corse #51""-1677";199.99;
Ford Mustang;1471;Ford Mustang-1471;169.99;
StoryTales Set;109;StoryTales Set-109;169.95;45005-2
Cargo Train;105;Cargo Train-105;129.99;
Tech Machines;97;Tech Machines-97;249.95;45015-1
My XL World;492;My XL World-492;299.95;
Assembly Square;4002;Assembly Square-4002;299.99;
STEAM Park;303;STEAM Park-303;219.95;
Tubes;150;Tubes-150;174.95;
Zoey and Zian the Cat-Owl;437;Zoey and Zian the Cat-Owl-437;49.99;
Coding Express;235;Coding Express-235;249.95;
Bookshop;2504;Bookshop-2504;199.99;
Chinese New Year Temple Fair;1664;Chinese New Year Temple Fair-1664;119.99;
Black Panther;2961;Black Panther-2961;349.99;
Table Football;2339;Table Football-2339;249.99;
