Name;Pieces;;Price;
Growing Carrot;11;Growing Carrot-11;9.99;
Rocket Mech Armor;98;Rocket Mech Armor-98;14.99;
Nya's Water Dragon EVO;184;Nya's Water Dragon EVO-184;19.99;
Leo's Room;203;Leo's Room-203;19.99;
Kai's Ninja Race Car EVO;94;Kai's Ninja Race Car EVO-94;9.99;
The End Arena;252;The End Arena-252;24.99;
Fruit and Vegetable Tractor;19;Fruit and Vegetable Tractor-19;19.99;
Lloyd's Ninja Street Bike;64;Lloyd's Ninja Street Bike-64;9.99;
Liann's Room;204;Liann's Room-204;19.99;
Creative Neon Fun;333;Creative Neon Fun-333;19.99;
Train Motor;7;Train Motor-7;13.99;
Heart Box;80;Heart Box-80;19.99;
Spider-Man's House;25;Spider-Man's House-25;19.99;
Nova's Room;179;Nova's Room-179;19.99;
Monkie Kid's Combi Mech;277;Monkie Kid's Combi Mech-277;19.99;
Hulk Mech Armor;138;Hulk Mech Armor-138;14.99;
Mei's Dragon Jet;246;Mei's Dragon Jet-246;19.99;
Spinning Stunt Challenge;117;Spinning Stunt Challenge-117;39.99;
Dunk Stunt Ramp Challenge;144;Dunk Stunt Ramp Challenge-144;29.99;
Police Car;94;Police Car-94;9.99;
Hufflepuff House Banner;313;Hufflepuff House Banner-313;34.99;
Ravenclaw House Banner;305;Ravenclaw House Banner-305;34.99;
Slytherin House Banner;352;Slytherin House Banner-352;34.99;
Blue Baseplate;1;Blue Baseplate-1;7.99;
Road Plates;112;Road Plates-112;19.99;
Family House on Wheels;31;Family House on Wheels-31;19.99;
Gray Baseplate;1;Gray Baseplate-1;14.99;
Vet Van Rescue;58;Vet Van Rescue-58;9.99;
Creative Animal Drawer;643;Creative Animal Drawer-643;24.99;
Creative Animals;450;Creative Animals-450;34.99;
Conkdor's Noggin Bopper Expansion Set;130;Conkdor's Noggin Bopper Expansion Set-130;14.99;
White Baseplate;1;White Baseplate-1;7.99;
Wild Animals of Africa;11;Wild Animals of Africa-11;9.99;
High-Speed Train;284;High-Speed Train-284;19.99;
The Bakery;154;The Bakery-154;24.99;
Darth Vader Helmet;834;Darth Vader Helmet-834;79.99;
The Fox Lodge;193;The Fox Lodge-193;19.99;
Green Building Plate;1;Green Building Plate-1;14.99;
Shuri's Lab;58;Shuri's Lab-58;9.99;
Fast & Furious 1970 Dodge Charger R/T;345;Fast & Furious 1970 Dodge Charger R/T-345;19.99;
Defence of Hoth;64;Defence of Hoth-64;14.99;
Holiday Camper Van;190;Holiday Camper Van-190;19.99;
The Mushroom House;272;The Mushroom House-272;24.99;
The Knockdown Stunt Challenge;117;The Knockdown Stunt Challenge-117;34.99;
Recycling Truck;259;Recycling Truck-259;19.99;
Destinys Bounty - Race Against Time;1741;Destinys Bounty - Race Against Time-1741;159.99;
Wild Animals of the Ocean;33;Wild Animals of the Ocean-33;19.99;
Creative Monsters;140;Creative Monsters-140;9.99;
The Shark Attack Stunt Challenge;122;The Shark Attack Stunt Challenge-122;34.99;
Truck & Tracked Excavator;20;Truck & Tracked Excavator-20;19.99;
Hogwarts Carriage and Thestrals;121;Hogwarts Carriage and Thestrals-121;19.99;
The Guardian Battle;255;The Guardian Battle-255;24.99;
Creative Ocean Fun;333;Creative Ocean Fun-333;19.99;
Zyclops Chase;87;Zyclops Chase-87;19.99;
Tracks;20;Tracks-20;19.99;
Hulk vs. Rhino Truck Showdown;110;Hulk vs. Rhino Truck Showdown-110;19.99;
Yoshi's Gift House Expansion Set;246;Yoshi's Gift House Expansion Set-246;29.99;
Tractor;148;Tractor-148;19.99;
Bath Time Fun: Floating Animal Train;14;Bath Time Fun: Floating Animal Train-14;19.99;
Train Bridge and Tracks;26;Train Bridge and Tracks-26;24.99;
Police Motorcycle;5;Police Motorcycle-5;9.99;
"The ""Abandoned"" Mine";248;"The ""Abandoned"" Mine-248";19.99;
Dinosaur Nursery;27;Dinosaur Nursery-27;19.99;
Dark Trooper Attack;166;Dark Trooper Attack-166;34.99;
Pet Adoption Café;292;Pet Adoption Café-292;29.99;
Number Train - Learn To Count;23;Number Train - Learn To Count-23;19.99;
Message Board;533;Message Board-533;19.99;
Doctor Visit;34;Doctor Visit-34;19.99;
